Fieldname	Rename to	Length	Precision
bank_date	AS_OF_DATE		
form_id			
id	ID		
bu_id	BU_ID		
asset_id	ASSET_ID		
wfc_status_id			
ins_by_sec_user_id			
order_type_id			
ordered_by			
trx_date			
val_date			
order_date			
bp_id			
cont_id			
broker_id			
call_qty			
strike			
put_qty			
pos_qty			
expiry_date			
dlv_date			
opt_type_id			
settle_price			
prem			
spread_1			
gross			
net			
deal_rate			
postit_text	POSTIT_TEXT		
trans_timestamp	TRANS_TIMESTAMP		
trans_sec_user_id	TRANS_SEC_USER_ID		
override_id	OVERRIDE_ID		
override_sec_user_id	OVERRIDE_SEC_USER_ID		
override_timestamp	OVERRIDE_TIMESTAMP		
override_text	OVERRIDE_TEXT		
person_id	PERSON_ID		
