Fieldname	Rename to	Length	Precision
BANK_DATE	AS_OF_DATE
FORM_ID	
ID	ID
BU_ID	BU_ID
ASSET_ID	ASSET_ID
WFC_STATUS_ID	
INS_BY_SEC_USER_ID	
ORDER_TYPE_ID	
ORDERED_BY	
TRX_DATE	
VAL_DATE	
ORDER_DATE	
BP_ID	
CONT_ID	
BROKER_ID	
CALL_QTY	
STRIKE	
PUT_QTY	
POS_QTY	
EXPIRY_DATE	
DLV_DATE	
OPT_TYPE_ID	
SETTLE_PRICE	
PREM	
SPREAD_1	
GROSS	
NET	
DEAL_RATE	
POSTIT_TEXT	POSTIT_TEXT
TRANS_TIMESTAMP	TRANS_TIMESTAMP
TRANS_SEC_USER_ID	TRANS_SEC_USER_ID
OVERRIDE_ID	OVERRIDE_ID
OVERRIDE_SEC_USER_ID	OVERRIDE_SEC_USER_ID
OVERRIDE_TIMESTAMP	OVERRIDE_TIMESTAMP
OVERRIDE_TEXT	OVERRIDE_TEXT
PERSON_ID	PERSON_ID
